TIME, HIND, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","16_17","1","STE","1","A",99321
"2011","16_17","2","STE","2","A",59862
"2011","16_17","3","STE","3","A",42566
"2011","16_17","4","STE","4","A",11594
"2011","16_17","5","STE","5","A",33362
"2011","16_17","6","STE","6","A",2384
"2011","16_17","7","STE","7","A",2816
"2011","16_17","8","STE","8","A",10997
"2011","16_17","9","STE","9","A",28
