TIME, HIND, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","04","1","STE","1","A",70403
"2011","04","2","STE","2","A",52113
"2011","04","3","STE","3","A",37026
"2011","04","4","STE","4","A",20407
"2011","04","5","STE","5","A",18317
"2011","04","6","STE","6","A",7103
"2011","04","7","STE","7","A",1300
"2011","04","8","STE","8","A",2212
"2011","04","9","STE","9","A",4
