TIME, ANCP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","1102","1","STE","1","A",23701
"2011","1102","2","STE","2","A",4948
"2011","1102","3","STE","3","A",30657
"2011","1102","4","STE","4","A",7692
"2011","1102","5","STE","5","A",19406
"2011","1102","6","STE","6","A",1207
"2011","1102","7","STE","7","A",39194
"2011","1102","8","STE","8","A",702
"2011","1102","9","STE","9","A",193
