TIME, ANCP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","3307","1","STE","1","A",48155
"2011","3307","2","STE","2","A",53191
"2011","3307","3","STE","3","A",24183
"2011","3307","4","STE","4","A",17972
"2011","3307","5","STE","5","A",18642
"2011","3307","6","STE","6","A",3388
"2011","3307","7","STE","7","A",772
"2011","3307","8","STE","8","A",4034
"2011","3307","9","STE","9","A",3
