TIME, ANCP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","4106","1","STE","1","A",146869
"2011","4106","2","STE","2","A",40226
"2011","4106","3","STE","3","A",6711
"2011","4106","4","STE","4","A",4800
"2011","4106","5","STE","5","A",2919
"2011","4106","6","STE","6","A",305
"2011","4106","7","STE","7","A",149
"2011","4106","8","STE","8","A",1145
"2011","4106","9","STE","9","A",3
