TIME, ANCP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","5201","1","STE","1","A",93933
"2011","5201","2","STE","2","A",50068
"2011","5201","3","STE","3","A",39346
"2011","5201","4","STE","4","A",11515
"2011","5201","5","STE","5","A",20411
"2011","5201","6","STE","6","A",1734
"2011","5201","7","STE","7","A",4371
"2011","5201","8","STE","8","A",3320
"2011","5201","9","STE","9","A",15
