TIME, ANCP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","7115","1","STE","1","A",4595
"2011","7115","2","STE","2","A",13462
"2011","7115","3","STE","3","A",1959
"2011","7115","4","STE","4","A",581
"2011","7115","5","STE","5","A",1509
"2011","7115","6","STE","6","A",82
"2011","7115","7","STE","7","A",114
"2011","7115","8","STE","8","A",642
"2011","7115","9","STE","9","A",0
