area_code,sla_code,unemployed
420053791,420053791,132
420053794,420053794,68
420054210,420054210,205
420056671,420056671,24
420056674,420056674,162
125011801,125011801,1806
420059039,420059039,10
420103080,420103080,13
420105040,420105040,523
420107290,420107290,22
420107800,420107800,123
420109109,420109109,0
425053360,425053360,44
425055090,425055090,145
425056860,425056860,21
425057630,425057630,68
125033751,125033751,1342
425102250,425102250,151
425104620,425104620,811
425108341,425108341,60
425108344,425108344,231
430051190,430051190,20
430051750,430051750,25
430051960,430051960,17
430053220,430053220,9
430053570,430053570,23
430053710,430053710,87
125050600,125050600,523
430056300,430056300,354
430057910,430057910,44
430059179,430059179,0
430101010,430101010,65
430107490,430107490,37
430109249,430109249,3
435058540,435058540,827
435059389,435059389,3
435155120,435155120,96
435155400,435155400,20
