area_code,sla_code,unemployed
710304600,710304600,3
710305050,710305050,37
710350300,710350300,6
710351350,710351350,13
710353409,710353409,6
710353800,710353800,83
710354009,710354009,12
135058020,135058020,341
710400201,710400201,55
710400203,710400203,18
710400205,710400205,106
710400207,710400207,91
710400208,710400208,41
710400360,710400360,34
710400400,710400400,3
710401909,710401909,12
710402320,710402320,3
710403009,710403009,34
105156650,105156650,2372
135058150,135058150,273
710403209,710403209,212
710403609,710403609,69
710403650,710403650,0
710404650,710404650,3
710404700,710404700,65
710405000,710405000,21
805050089,805050089,164
805050189,805050189,92
805050639,805050639,119
805050909,805050909,62
135100950,135100950,105
805051449,805051449,18
805051889,805051889,54
805051989,805051989,73
805052169,805052169,3
805053609,805053609,46
805055049,805055049,0
805055229,805055229,88
805055769,805055769,0
805056389,805056389,98
805057209,805057209,59
135102150,135102150,128
805057479,805057479,0
805058289,805058289,90
805058559,805058559,86
805100279,805100279,41
805100459,805100459,139
805100549,805100549,0
805100729,805100729,127
805101179,805101179,90
805101629,805101629,59
805102139,805102139,75
135107900,135107900,293
805102259,805102259,94
805102619,805102619,119
805102709,805102709,57
805102889,805102889,40
805103249,805103249,75
805103879,805103879,50
805103969,805103969,61
805104149,805104149,98
805104779,805104779,134
805105139,805105139,70
135107950,135107950,76
805105409,805105409,45
805105589,805105589,64
805105679,805105679,58
805105949,805105949,47
805106669,805106669,53
805107569,805107569,60
805107659,805107659,54
805108649,805108649,30
805151269,805151269,45
805151719,805151719,73
135151150,135151150,112
805152439,805152439,41
805153069,805153069,45
805154239,805154239,43
805154419,805154419,32
805155319,805155319,64
805155859,805155859,51
805156489,805156489,10
805156849,805156849,34
805156939,805156939,35
805158109,805158109,40
135151200,135151200,93
805201089,805201089,42
805202079,805202079,51
805202529,805202529,52
805204059,805204059,39
805207389,805207389,53
805207749,805207749,30
805207839,805207839,0
805208469,805208469,41
805208739,805208739,41
805208829,805208829,3
135151750,135151750,123
805250339,805250339,72
