TIME, HIND, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","01_02","1","STE","1","A",34422
"2011","01_02","2","STE","2","A",30147
"2011","01_02","3","STE","3","A",19222
"2011","01_02","4","STE","4","A",7459
"2011","01_02","5","STE","5","A",10479
"2011","01_02","6","STE","6","A",1859
"2011","01_02","7","STE","7","A",577
"2011","01_02","8","STE","8","A",920
"2011","01_02","9","STE","9","A",7
