TIME, HIND, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_TOT
"2011","09","1","STE","1","A",186202
"2011","09","2","STE","2","A",158918
"2011","09","3","STE","3","A",124340
"2011","09","4","STE","4","A",52552
"2011","09","5","STE","5","A",55867
"2011","09","6","STE","6","A",16631
"2011","09","7","STE","7","A",4506
"2011","09","8","STE","8","A",8368
"2011","09","9","STE","9","A",66
